id,age,name,roses,week,job,image_path
Alex,31,Alex,0,2,Construction Manager,./men_img/alex.png
Blake,28,Blake,2,9,Sales Rep,./men_img/blake.png
Chase,27,Chase,0,1,Advertising VP,./men_img/chase.png
Chris,30,Chris,2,6,Sales Trainer,./men_img/chris.png
Christon,31,Christon,2,4,Former Harlem Globetrotter,./men_img/christon.png
Christian,28,Christian,0,1,Banker,./men_img/christian.png
Clay,30,Clay,2,3,Pro Football Player,./men_img/clay.png
Colton,26,Colton,2,8,Former Pro Football Player,./men_img/colton.png
Connor,25,Connor,2,6,Fitness Coach,./men_img/connor.png
David,25,David,0,5,Venture Capitalist,./men_img/david.png
Darius,26,Darius,0,1,Pharmaceutical Sales Rep,./men_img/darius.png
Garrett,29,Garrett,2,9,Medical Sales Rep,./men_img/garrett.png
Grant,27,Grant,0,1,Electrician,./men_img/grant.png
Jake,29,Jake,0,1,Marketing Consultant,./men_img/grant.png
Jason,29,Jason,2,9,Sr. Corporate Banker,./men_img/jason.png
JeanBlanc,31,Jean Blanc,2,4,Funemployed?,./men_img/jeanblanc.png
Joe,31,Joe,0,1,Grocery Store Owner,./men_img/joe.png
John,28,John,2,5,Software Engineer,./men_img/john.png
Jordan,26,Jordan,2,5,Male Model,./men_img/jordan.png
Kamil,30,Kamil,0,1,Social Media Participant,./men_img/kamil.png
Leo,31,Leo,2,7,Stuntman,./men_img/leo.png
Lincoln,26,Lincoln,2,6,Account Sales Executive,./men_img/lincoln.png
Mike,27,Mike,2,3,Sports Analyst,./men_img/mike.png
Nick,27,Nick,2,4,Attorney,./men_img/nick.png
Rickey,27,Rickey,0,2,IT Consultant,./men_img/rickey.png
Ryan,26,Ryan,2,3,Banjoist,./men_img/ryan.png
Trent,28,Trent,2,2,Realtor,./men_img/trent.png
Wills,29,Wills,2,7,Graphic Designer,./men_img/wills.png
